has_particle,x,y,d,d_particle,Ms_particle,Hx,Hy,Hz,N,freq,freq_diff
True,20.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,5,10.711735394876513,0.10855085317081148
True,30.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,1,4.63103451837988,0.18737230179122033
True,30.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,2,6.27415306417421,0.3575750649612388
True,30.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,3,7.950387824647285,0.03262325355214113
True,30.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,4,8.41353405314034,-0.001704170214653189
True,30.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,5,10.748375175185485,0.14519063347978367
True,40.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,1,4.5637386865195815,0.1200764699309218
True,40.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,2,6.311167075116057,0.39458907590308545
True,40.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,3,8.174118456837476,0.25635388574233264
True,40.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,4,8.396714416934461,-0.018523806420532196
True,40.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,5,10.666314832084622,0.06313029037892015
True,50.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,1,4.51117191306177,0.06750969647311056
True,50.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,2,6.232478131780101,0.3159001325671298
True,50.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,3,8.381596889923243,0.46383231882809905
True,50.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,4,8.397110563273346,-0.01812766008164779
True,50.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,5,10.72855606994512,0.12537152823941788
True,60.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,1,4.4732591965597415,0.029596979971081794
True,60.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,2,6.125262863035101,0.20868486382213014
True,60.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,3,8.361652180989704,0.4438876098945608
True,60.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,4,8.388506008958062,-0.026732214396931298
True,60.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,5,10.694579075887566,0.09139453418186427
True,70.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,1,4.447192014918601,0.0035297983299411584
True,70.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,2,6.021694188305546,0.10511618909257514
True,70.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,3,8.19507069275959,0.2773061216644459
True,70.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,4,8.39175968168284,-0.02347854167215324
True,70.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,5,10.67344225714344,0.07025771543773907
True,80.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,1,4.426702114114937,-0.016960102473722927
True,80.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,2,5.925634540965627,0.009056541752655356
True,80.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,3,7.992849933523465,0.07508536242832164
True,80.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,4,8.395686243772705,-0.019551979582288936
True,80.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,5,10.664395057236282,0.06121051553058088
True,90.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,1,4.4208145783749115,-0.022847638213748134
True,90.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,2,5.884056068183241,-0.032521931029730666
True,90.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,3,7.897527260818502,-0.02023731027664155
True,90.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,4,8.399506601668902,-0.015731621686091657
True,90.0,0.0,5.0,20.0,1000000.0,0,0,80000.0,5,10.589560379437941,-0.013624162267760198
True,10.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.625637442332727,0.18197522574406744
True,10.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,2,5.96813897415989,0.051560974946919025
True,10.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,3,8.008305012709576,0.09054044161443198
True,10.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.533052109875484,0.11781388652049074
True,10.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.686129310753712,0.08294476904801051
True,20.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.60059089561244,0.15692867902378005
True,20.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,2,6.014343616057788,0.09776561684481688
True,20.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,3,7.987241491874166,0.06947692077902268
True,20.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.51123047856208,0.09599225520708643
True,20.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.69882278478142,0.09563824307571878
True,30.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.565191162315334,0.12152894572667439
True,30.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,2,6.059477164817718,0.1428991656047467
True,30.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,3,7.991942351485191,0.07417778039004741
True,30.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.483120535160669,0.0678823118056755
True,30.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.693341688599448,0.09015714689374654
True,40.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.5299055287245436,0.08624331213588388
True,40.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,2,6.078167961118412,0.16158996190544084
True,40.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,3,8.032026354772665,0.11426178367752104
True,40.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.456113156415068,0.04087493306007417
True,40.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.693006698026291,0.0898221563205901
True,50.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.498230129325722,0.05456791273706241
True,50.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,2,6.060803402534519,0.1442254033215482
True,50.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,3,8.071579171643641,0.15381460054849772
True,50.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.434621615234912,0.01938339187991822
True,50.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.721827014352721,0.11864247264701966
True,60.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.472299335091365,0.028637118502705228
True,60.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,2,6.022708440483903,0.10613044127093207
True,60.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,3,8.072996058389073,0.15523148729392933
True,60.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,4,8.420506933994918,0.005268710639924734
True,60.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,5,10.731600586586051,0.12841604488034974
True,70.0,0.0,20.0,20.0,1000000.0,0,0,80000.0,1,4.452918539448516,0.009256322859855892
